name,rating,price,city
Moti Mahal Delux,3.8,300,Delhi
Gulati,4.3,300,Delhi
Veg Gulati,4,300,Delhi
Bikkgane Biryani,3.9,300,Delhi
Paradise Muradabadi Chicken Biryani,4.1,300,Delhi
Dhaba On Wheels,3.1,300,Delhi
Mr Naan Mrs Curry,3.4,300,Delhi
Irshad Hussain Dhaba,4,300,Delhi
Zaika Muradabadi Chicken Biryani,3.5,300,Delhi
Best In Town,0,250,Delhi
Bowl Of Biryani,3.6,250,Delhi
Al Zayka Sufyan Chicken Corner,4,250,Delhi
Muradabadi Chicken Biryani,0,250,Delhi
Quality Restaurant,0,250,Delhi
God Father Restaurant,0,250,Delhi
Maalgaadi By Dhaba Estd 1986 Delhi,4.1,250,Delhi
UBQ By Barbeque Nation,3.8,250,Delhi
Dhaba By Taj,3.1,250,Delhi
The Biryani Life,4,250,Delhi
Oberoi Biryani,4,250,Delhi
Punjab Grill,4,250,Delhi
Biryani By Kilo,4.2,400,Delhi
Zaika Chicken Biryani,3.8,400,Delhi
New Shama Chicken Corner,3.9,400,Delhi
Shahi Mughlai Mahal,0,400,Delhi
Ballu Bawarchi,3.2,400,Delhi
Kahi Se Bhi,3.2,400,Delhi
Bhukha Sher,3.6,400,Delhi
Musafir By Imly,3.4,400,Delhi
Dilli 6 Ki Shahi Biryani,0,400,Delhi
Khan Chacha Hydrabadi Since 2007,3.2,400,Delhi
Biryani's Kisi Bhi Time,3.2,400,Delhi
The Masala Garage,4,400,Delhi
Raja Bhoj & Co.,3.5,250,Delhi
Chawal Chicken,0,250,Delhi
Wow! Biryani,0,250,Delhi
Biryani And Muglai House,3.2,250,Delhi
Lala Bhai,4,250,Delhi
Too Indian,3.7,250,Delhi
Alam Muradabadi Chicken Biryani Centre,0,250,Delhi
Butter Chicken Factory Since 1979,4,250,Delhi
Rahman Food Take Away,4,250,Delhi
Jubilee Hyderabadi Biryani,3.7,250,Delhi
Butterangi,3.5,250,Delhi
Bhookemon,4.1,250,Delhi
Raj Chicken Corner ,0,150,Delhi
Special No1 Biryani House,3.6,150,Delhi
Foodieheart,0,150,Delhi
Sardar Ji Biryani,3.2,150,Delhi
Chef's Kitchen,3.6,150,Delhi
Behrouz Biryani,4.1,150,Delhi
Barista,4.3,150,Delhi
Nazeer Foods,4,150,Delhi
The Great Kabab Factory - Radisson Blu Marina,3.6,150,Delhi
Hyderabadi Biriyani,4,150,Delhi
Navaab Saab 24@7 Kitchen,3.7,150,Delhi
LunchBox - Meals and Thalis,3.9,150,Delhi
Zam Zam Food Express,0,250,Delhi
Saada Pind (Oh! Pind),4.1,250,Delhi
Xxtra Chutney By Prince Paan,3.7,250,Delhi
Forever Andhra,4.1,250,Delhi
Andhra Kodi Pulao,3.7,250,Delhi
Medley Meals,0,250,Delhi
Bagundi Tiffins,4,250,Delhi
Kinbuck 2,0,250,Delhi
Flame of Indian Spices,3.9,250,Delhi
Biryani Badshah,4,250,Delhi
The Good Bowl,3.9,250,Delhi
Bagundi Andhra Kitchen,4,250,Delhi
Daryaganj - By The Inventors Of Butter Chicken And Dal Makhani,4,500,Delhi
Abdul Ghani Qureshi Kabab Corner,4.2,500,Delhi
Biryani Blues,4.1,500,Delhi
Laale Di Chaap,3.2,500,Delhi
Hyderabadi Biryani Bhawan,3.9,500,Delhi
Rozi Roti,3.4,500,Delhi
Thalassery Restaurant,3.4,500,Delhi
Punjabi Grilled,3.9,500,Delhi
The Southern Kitchen,3.9,500,Delhi
Hello G Sas Kitchen,3.3,500,Delhi
Parantha Sharantha,3.1,500,Delhi
Curry Kitchen,0,500,Delhi
Annie's Kerala Kitchen,3.8,200,Delhi
Oye Chhotu,3.5,200,Delhi
Chattore Dilli Ke,3.8,200,Delhi
Sikkim Kitchen,4.3,200,Delhi
Thali's Kisi Bhi Time,0,200,Delhi
,0,0,Delhi
Charcoal Eats - Biryani & Beyond,4.1,350,Mumbai
Sardar Paya House - Pappu Paya Wala,4,350,Mumbai
Hangla's,4,350,Mumbai
The Biryani Life,3.8,350,Mumbai
Swadeshi Rasoi,0,350,Mumbai
Hotel Mauli,4.1,350,Mumbai
Tandoor Magic,3.8,350,Mumbai
Chokha Curries,3.2,350,Mumbai
Shree Datta Boarding,4.1,350,Mumbai
Zaffran,4,400,Mumbai
Prabhat,4,400,Mumbai
Biryani And Pulao Collection By ITC Hotels,3.6,400,Mumbai
Feast at East,3.7,400,Mumbai
Nawabi Delicacy ,0,400,Mumbai
Biryani By Kilo,4,400,Mumbai
Rakesh Paya House,4.2,400,Mumbai
The Foodie,0,400,Mumbai
Biryani Pot,0,400,Mumbai
Midland BKC - Biryani Kebab Curry,0,400,Mumbai
Tadka Table,0,400,Mumbai
Brunch Biryani,0,400,Mumbai
Yummy Biryani,0,300,Mumbai
The Malai Paneer Company,3.5,300,Mumbai
Jashn E Biryani,0,300,Mumbai
Hotel Sagar,3.8,300,Mumbai
Canara Family Dining,3.8,300,Mumbai
Tazza,4.1,300,Mumbai
Sujata Veg Treat,4.1,300,Mumbai
Ambience Bar & Kitchen,4.2,300,Mumbai
BOX8 - Desi Meals,4,300,Mumbai
Altaf's Saffron,4,300,Mumbai
Behrouz Biryani,4,300,Mumbai
Pawar's Kitchen,3.9,300,Mumbai
New India's Kitchen,0,200,Mumbai
Sawant's Swaad Gharcha,3.7,200,Mumbai
Tadka Maar Ke By Colossal Kitchens,4.2,200,Mumbai
Mao Family Restaurant,4,200,Mumbai
The Good Bowl,4,200,Mumbai
Tandoor Tale - Veg Rasoi,3.9,200,Mumbai
Delhi Chinese Centre,3.8,200,Mumbai
IndiKitchen,3.8,200,Mumbai
Hotel Mayur Garden,3.3,200,Mumbai
Raj Palace Restaurant,3.9,200,Mumbai
Prakash Bar and Kitchen,0,200,Mumbai
Ishaara,3.8,200,Mumbai
Jhakas Family Restaurant,3.5,200,Mumbai
Hotel Sheetal,4.2,200,Mumbai
Hotel Malvan Kinara,3.8,200,Mumbai
Express Dine,4.3,200,Mumbai
Shanti Coffee House,4,200,Mumbai
Jaffer Bhai's Delhi Darbar,3.9,200,Mumbai
Satkar Veg Restaurant,4.2,200,Mumbai
Sion Lunch Home,4.2,200,Mumbai
Akshaya Restaurant,4,200,Mumbai
Shapoor,4,200,Mumbai
New Madras Lunch Home,3.8,200,Mumbai
Durga Restaurant And Bar,4.3,200,Mumbai
Visawa Restaurant,4,150,Mumbai
Vikas Bar & Restaurant,3.6,150,Mumbai
Asha,3.8,150,Mumbai
Rehmat Restaurant,3.7,150,Mumbai
Ashirwad,4,150,Mumbai
