,business_status,geometry,name,rating,types,user_ratings_total,vicinity,price_level
0,OPERATIONAL,"{'location': {'lat': 12.9657028, 'lng': 77.5987588}, 'viewport': {'northeast': {'lat': 12.9671321302915, 'lng': 77.60007708029151}, 'southwest': {'lat': 12.9644341697085, 'lng': 77.59737911970849}}}",The Chancery Pavilion,4.1,"['lodging', 'restaurant', 'food', 'point_of_interest', 'establishment']",13803.0,"135, Residency Road, Shanthala Nagar, Ashok Nagar, Bengaluru",
1,OPERATIONAL,"{'location': {'lat': 12.9716313, 'lng': 77.59581170000001}, 'viewport': {'northeast': {'lat': 12.9729149302915, 'lng': 77.5971944802915}, 'southwest': {'lat': 12.9702169697085, 'lng': 77.5944965197085}}}",Oakwood Premier Prestige Bangalore,4.6,"['night_club', 'spa', 'lodging', 'bar', 'restaurant', 'food', 'point_of_interest', 'establishment']",2095.0,"UB City, 24, Vittal Mallya Road, Ashok Nagar, Bengaluru",
2,OPERATIONAL,"{'location': {'lat': 12.9894732, 'lng': 77.59495079999999}, 'viewport': {'northeast': {'lat': 12.9909474302915, 'lng': 77.59628658029152}, 'southwest': {'lat': 12.9882494697085, 'lng': 77.59358861970851}}}",Fortune Select JP Cosmos,4.1,"['lodging', 'restaurant', 'food', 'point_of_interest', 'establishment']",3345.0,"behind फोर्टिस हॉस्पिटल, 49, Cunningham Crescent Road, Vasanth Nagar, Bengaluru",
3,OPERATIONAL,"{'location': {'lat': 12.966784, 'lng': 77.6062839}, 'viewport': {'northeast': {'lat': 12.9681690802915, 'lng': 77.6077856302915}, 'southwest': {'lat': 12.9654711197085, 'lng': 77.6050876697085}}}",Tom's Restaurant,4.3,"['restaurant', 'food', 'point_of_interest', 'establishment']",1446.0,"002, Raheja Chancery, 133, Brigade Road, Bengaluru",
4,OPERATIONAL,"{'location': {'lat': 12.9717869, 'lng': 77.5960995}, 'viewport': {'northeast': {'lat': 12.9730133802915, 'lng': 77.59728348029151}, 'southwest': {'lat': 12.9703154197085, 'lng': 77.5945855197085}}}",Cafe Noir,4.2,"['cafe', 'bar', 'restaurant', 'food', 'point_of_interest', 'establishment']",2338.0,"UB City, Unit No 206, The Collection, No 24, Vittal Mallya Road, Bengaluru",3.0
5,OPERATIONAL,"{'location': {'lat': 12.9718487, 'lng': 77.5985968}, 'viewport': {'northeast': {'lat': 12.9732539802915, 'lng': 77.59988468029151}, 'southwest': {'lat': 12.9705560197085, 'lng': 77.59718671970849}}}",Sunny's Restaurant,4.1,"['restaurant', 'food', 'point_of_interest', 'establishment']",2109.0,"50, Lavelle Road, Shanthala Nagar, Ashok Nagar, Bengaluru",3.0
6,CLOSED_TEMPORARILY,"{'location': {'lat': 12.9715987, 'lng': 77.5945627}, 'viewport': {'northeast': {'lat': 12.9729454802915, 'lng': 77.59592123029151}, 'southwest': {'lat': 12.9702475197085, 'lng': 77.5932232697085}}}",Mahesh Enterprises,,"['restaurant', 'food', 'point_of_interest', 'establishment']",,"53, Veeraswamy Garden, K G Nagar, K G Nagar, Bengaluru",
7,OPERATIONAL,"{'location': {'lat': 12.9708863, 'lng': 77.59758389999999}, 'viewport': {'northeast': {'lat': 12.9723695802915, 'lng': 77.59891513029149}, 'southwest': {'lat': 12.9696716197085, 'lng': 77.59621716970848}}}",The Biere Club,4.3,"['bar', 'restaurant', 'food', 'point_of_interest', 'establishment']",8838.0,"20/2, Vittal Mallya Road, D' Souza Layout, Ashok Nagar, Bengaluru",3.0
8,OPERATIONAL,"{'location': {'lat': 12.9754414, 'lng': 77.6027843}, 'viewport': {'northeast': {'lat': 12.9768309302915, 'lng': 77.6041443802915}, 'southwest': {'lat': 12.9741329697085, 'lng': 77.6014464197085}}}",Empire Restaurant - Church Street,3.9,"['restaurant', 'food', 'point_of_interest', 'establishment']",14736.0,"36, Church Street, Off, Mahatma Gandhi Road, Bengaluru",2.0
9,OPERATIONAL,"{'location': {'lat': 12.97326, 'lng': 77.6034564}, 'viewport': {'northeast': {'lat': 12.9745878302915, 'lng': 77.60468488029152}, 'southwest': {'lat': 12.9718898697085, 'lng': 77.60198691970851}}}",The Only Place,4.2,"['cafe', 'restaurant', 'food', 'point_of_interest', 'establishment']",5559.0,"near Post Office, Museum Road, Ashok Nagar, Bengaluru",2.0
